#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         2754.23     1.03825e-13     1.03825e-13     1.03825e-13
         2928.64     8.71863e-14     8.71863e-14     8.71863e-14
         3114.11     7.32092e-14     7.32092e-14     7.32092e-14
         3311.31     6.14687e-14     6.14687e-14     6.14687e-14
         3521.01     5.16074e-14     5.16074e-14     5.16074e-14
         3743.98     4.33253e-14     4.33253e-14     4.33253e-14
         3981.07     3.63699e-14     3.63699e-14     3.63699e-14
         4233.18     3.05292e-14     3.05292e-14     3.05292e-14
         4501.25     2.56247e-14     2.56247e-14     2.56247e-14
          4786.3     2.15068e-14     2.15068e-14     2.15068e-14
          5089.4     1.80495e-14     1.80495e-14     1.80495e-14
          5411.7      1.5147e-14      1.5147e-14      1.5147e-14
          5754.4     1.27105e-14     1.27105e-14     1.27105e-14
         6118.81     1.06652e-14     1.06652e-14     1.06652e-14
         6506.29     8.94854e-15     8.94854e-15     8.94854e-15
         6918.31     7.50772e-15     7.50772e-15     7.50772e-15
         7356.42     6.29852e-15     6.29852e-15     6.29852e-15
         7822.28     5.28377e-15     5.28377e-15     5.28377e-15
         8317.64     4.43225e-15     4.43225e-15     4.43225e-15
         8844.37     3.71774e-15     3.71774e-15     3.71774e-15
         9404.45     3.11824e-15     3.11824e-15     3.11824e-15
